flight_id,origin_city_id,destination_city_id,departure_time,arrival_time,airline_id,status,ErrorText
1293704,3398,925,10/11/2016 19:30:00,10/12/2016 09:45:00,29,New flights,
1293881,3594,1294,10/11/2016 16:00:00,10/12/2016 01:15:00,3,New flights,
1293826,824,1294,10/11/2016 18:15:00,10/12/2016 05:50:00,2,New flights,
1293798,824,1046,10/11/2016 22:30:00,10/12/2016 05:45:00,11,New flights,
1293834,824,1294,10/11/2016 09:15:00,10/11/2016 14:30:00,2,New flights,
1293805,824,1046,10/11/2016 14:50:00,10/12/2016 05:20:00,2,New flights,
1293702,3398,925,10/11/2016 19:30:00,10/12/2016 09:45:00,10,New flights,
1293844,1485,3398,10/11/2016 09:45:00,10/11/2016 19:05:00,2,New flights,
1293710,3398,925,10/11/2016 15:15:00,10/12/2016 07:00:00,2,New flights,
1293705,3398,925,10/11/2016 11:00:00,10/12/2016 06:40:00,2,New flights,
1293773,824,925,10/11/2016 06:30:00,10/11/2016 11:05:00,10,New flights,
1293788,824,925,10/11/2016 03:05:00,10/11/2016 08:30:00,2,New flights,
1366358,1485,824,10/15/2016 09:30:00,10/15/2016 22:00:00,2,New flights,
1294118,1046,1485,10/11/2016 08:15:00,10/11/2016 13:40:00,2,New flights,
1294124,1046,1485,10/11/2016 01:20:00,10/11/2016 04:55:00,2,New flights,
1293935,925,1294,10/11/2016 10:15:00,10/11/2016 17:55:00,23,New flights,
1293895,925,1118,10/11/2016 14:00:00,10/11/2016 17:10:00,23,New flights,
1293898,925,1118,10/11/2016 17:00:00,10/11/2016 20:20:00,23,New flights,
1293911,925,1118,10/11/2016 08:00:00,10/11/2016 11:30:00,23,New flights,
1293916,925,1118,10/11/2016 12:40:00,10/11/2016 19:55:00,10,New flights,
1293950,925,1294,10/11/2016 19:15:00,10/12/2016 06:00:00,2,New flights,
1293994,925,1005,10/11/2016 03:15:00,10/11/2016 06:35:00,2,New flights,
1294051,925,1005,10/11/2016 08:20:00,10/11/2016 11:10:00,2,New flights,
1366359,1485,824,10/15/2016 16:40:00,10/15/2016 22:45:00,2,New flights,
1294265,152,117,10/11/2016 09:46:00,10/11/2016 12:08:00,2,New flights,
1294313,1294,785,10/11/2016 18:30:00,10/11/2016 22:40:00,10,New flights,
1294300,1294,785,10/11/2016 07:00:00,10/11/2016 10:45:00,2,New flights,
1294326,152,3596,10/11/2016 11:30:00,10/11/2016 14:40:00,27,New flights,
1294377,152,3594,10/11/2016 05:00:00,10/11/2016 09:45:00,23,New flights,
1294303,1294,785,10/11/2016 11:15:00,10/11/2016 15:55:00,2,New flights,
1294235,1192,1051,10/11/2016 07:15:00,10/11/2016 13:50:00,2,New flights,
1294365,152,824,10/11/2016 23:45:00,10/12/2016 03:45:00,2,New flights,
1293627,1294,4206,10/11/2016 15:20:00,10/12/2016 06:45:00,2,New flights,
1294182,1046,1177,10/11/2016 16:35:00,10/11/2016 18:50:00,2,New flights,
1294283,152,117,10/11/2016 09:40:00,10/11/2016 12:08:00,2,New flights,
1366360,1485,824,10/15/2016 23:20:00,10/16/2016 09:40:00,2,New flights,
1366361,1485,824,10/15/2016 10:20:00,10/15/2016 17:50:00,2,New flights,
1294427,3398,5330,10/11/2016 08:05:00,10/11/2016 15:00:00,2,New flights,
1294450,3398,213,10/11/2016 19:00:00,10/11/2016 23:23:00,3,New flights,
1294437,3398,5330,10/11/2016 09:00:00,10/11/2016 16:00:00,2,New flights,
1333319,1177,3398,10/15/2016 22:15:00,10/16/2016 06:30:00,3,New flights,
1333355,1192,3863,10/15/2016 00:15:00,10/15/2016 12:45:00,2,New flights,
1294489,3398,3353,10/11/2016 12:30:00,10/11/2016 18:40:00,2,New flights,
1294515,3398,3464,10/11/2016 10:00:00,10/11/2016 19:30:00,30,New flights,
1294566,1005,152,10/11/2016 11:25:00,10/11/2016 18:40:00,51,New flights,
1294524,3398,3464,10/11/2016 02:30:00,10/11/2016 19:30:00,2,New flights,
1333359,1192,3863,10/15/2016 18:35:00,10/16/2016 10:45:00,2,New flights,
1333369,1192,3594,10/15/2016 23:30:00,10/16/2016 18:45:00,2,New flights,
1350391,3398,1003,10/19/2016 09:00:00,10/19/2016 17:50:00,2,New flights,
1350392,3398,1003,10/19/2016 15:15:00,10/19/2016 23:55:00,2,New flights,
1293713,3398,1009,10/11/2016 09:00:00,10/11/2016 16:20:00,2,New flights,
1333420,1253,152,10/15/2016 05:45:00,10/15/2016 18:10:00,2,New flights,
1350393,3398,1003,10/19/2016 21:45:00,10/20/2016 08:00:00,2,New flights,
1350388,3398,1003,10/19/2016 21:55:00,10/20/2016 13:20:00,2,New flights,
1350389,3398,1003,10/19/2016 23:20:00,10/20/2016 18:15:00,2,New flights,
1350390,3398,1003,10/19/2016 13:00:00,10/19/2016 22:45:00,3,New flights,
1350394,3398,1003,10/19/2016 08:00:00,10/19/2016 22:35:00,2,New flights,
1350386,1335,824,10/19/2016 10:40:00,10/19/2016 14:18:00,7,New flights,
1333382,1253,5330,10/15/2016 00:05:00,10/15/2016 16:00:00,2,New flights,
1350387,1335,824,10/19/2016 11:40:00,10/19/2016 15:18:00,7,New flights,
1342093,1046,3594,10/17/2016 08:15:00,10/17/2016 22:45:00,2,New flights,
1342109,1124,5330,10/17/2016 12:00:00,10/18/2016 05:45:00,3,New flights,
1342106,1124,1587,10/17/2016 21:25:00,10/18/2016 06:45:00,2,New flights,
1342102,1124,1587,10/17/2016 03:05:00,10/17/2016 19:00:00,10,New flights,
